stadium_name,week_number,condition
Acrisure Stadium,1,snowy
Acrisure Stadium,2,snowy
Acrisure Stadium,3,snowy
Acrisure Stadium,4,rainy
Acrisure Stadium,5,cloudy
Acrisure Stadium,6,cloudy
Acrisure Stadium,7,snowy
Acrisure Stadium,8,partly_cloudy
Acrisure Stadium,9,rainy
Acrisure Stadium,10,rainy
Acrisure Stadium,11,cloudy
Acrisure Stadium,12,snowy
Acrisure Stadium,13,cloudy
Acrisure Stadium,14,rainy
Acrisure Stadium,15,drizzle
Acrisure Stadium,16,rainy
Acrisure Stadium,17,drizzle
Acrisure Stadium,18,cloudy
Acrisure Stadium,19,rainy
Acrisure Stadium,20,drizzle
Acrisure Stadium,21,rainy
Acrisure Stadium,22,rainy
Acrisure Stadium,23,cloudy
Acrisure Stadium,24,cloudy
Acrisure Stadium,25,drizzle
Acrisure Stadium,26,cloudy
Acrisure Stadium,27,rainy
Acrisure Stadium,28,cloudy
Acrisure Stadium,29,cloudy
Acrisure Stadium,30,drizzle
Acrisure Stadium,31,rainy
Acrisure Stadium,32,cloudy
Acrisure Stadium,33,drizzle
Acrisure Stadium,34,cloudy
Acrisure Stadium,35,drizzle
Acrisure Stadium,36,sunny
Acrisure Stadium,37,cloudy
Acrisure Stadium,38,cloudy
Acrisure Stadium,39,rainy
Acrisure Stadium,40,rainy
Acrisure Stadium,41,cloudy
Acrisure Stadium,42,drizzle
Acrisure Stadium,43,cloudy
Acrisure Stadium,44,cloudy
Acrisure Stadium,45,cloudy
Acrisure Stadium,46,cloudy
Acrisure Stadium,47,cloudy
Acrisure Stadium,48,drizzle
Acrisure Stadium,49,snowy
Acrisure Stadium,50,rainy
Acrisure Stadium,51,snowy
Acrisure Stadium,52,cloudy
Allegiant Stadium,1,cloudy
Allegiant Stadium,2,cloudy
Allegiant Stadium,3,cloudy
Allegiant Stadium,4,cloudy
Allegiant Stadium,5,cloudy
Allegiant Stadium,6,rainy
Allegiant Stadium,7,cloudy
Allegiant Stadium,8,cloudy
Allegiant Stadium,9,cloudy
Allegiant Stadium,10,cloudy
Allegiant Stadium,11,cloudy
Allegiant Stadium,12,cloudy
Allegiant Stadium,13,cloudy
