stadium_name,week_number,average_temperature
Acrisure Stadium,1,1.7
Acrisure Stadium,2,1.33
Acrisure Stadium,3,-6.94
Acrisure Stadium,4,5.51
Acrisure Stadium,5,3.21
Acrisure Stadium,6,5.49
Acrisure Stadium,7,0.23
Acrisure Stadium,8,2.44
Acrisure Stadium,9,7.41
Acrisure Stadium,10,10.47
Acrisure Stadium,11,10.01
Acrisure Stadium,12,2.14
Acrisure Stadium,13,8.09
Acrisure Stadium,14,8.5
Acrisure Stadium,15,14.13
Acrisure Stadium,16,14.01
Acrisure Stadium,17,12.76
Acrisure Stadium,18,18.96
Acrisure Stadium,19,15.81
Acrisure Stadium,20,18.6
Acrisure Stadium,21,21.77
Acrisure Stadium,22,17.31
Acrisure Stadium,23,20.91
Acrisure Stadium,24,19.91
Acrisure Stadium,25,27.07
Acrisure Stadium,26,23.51
Acrisure Stadium,27,23.91
Acrisure Stadium,28,26.01
Acrisure Stadium,29,23.8
Acrisure Stadium,30,23.21
Acrisure Stadium,31,24.59
Acrisure Stadium,32,23.36
Acrisure Stadium,33,21.8
Acrisure Stadium,34,19.37
Acrisure Stadium,35,24.87
Acrisure Stadium,36,17.81
Acrisure Stadium,37,20.81
Acrisure Stadium,38,21.4
Acrisure Stadium,39,20.8
Acrisure Stadium,40,17.47
Acrisure Stadium,41,13.69
Acrisure Stadium,42,9.81
Acrisure Stadium,43,12.8
Acrisure Stadium,44,13.79
Acrisure Stadium,45,14.17
Acrisure Stadium,46,8.41
Acrisure Stadium,47,8.2
Acrisure Stadium,48,2.34
Acrisure Stadium,49,-0.49
Acrisure Stadium,50,1.91
Acrisure Stadium,51,1.69
Acrisure Stadium,52,5.41
Allegiant Stadium,1,8.79
Allegiant Stadium,2,4.63
Allegiant Stadium,3,9.99
Allegiant Stadium,4,10.23
Allegiant Stadium,5,11.23
Allegiant Stadium,6,6.87
Allegiant Stadium,7,10.7
Allegiant Stadium,8,12.3
Allegiant Stadium,9,13.1
Allegiant Stadium,10,12.44
Allegiant Stadium,11,12.33
Allegiant Stadium,12,15.26
Allegiant Stadium,13,14.19
Allegiant Stadium,14,13.89
Allegiant Stadium,15,19.14
Allegiant Stadium,16,22.16
Allegiant Stadium,17,21.43
Allegiant Stadium,18,22.41
Allegiant Stadium,19,20.73
Allegiant Stadium,20,28.07
Allegiant Stadium,21,25.19
Allegiant Stadium,22,29.83
Allegiant Stadium,23,33.71
Allegiant Stadium,24,32.91
Allegiant Stadium,25,31.9
Allegiant Stadium,26,35.41
Allegiant Stadium,27,36.01
Allegiant Stadium,28,37.53
Allegiant Stadium,29,36.11
Allegiant Stadium,30,36.27
Allegiant Stadium,31,34.3
Allegiant Stadium,32,35.76
Allegiant Stadium,33,33.44
Allegiant Stadium,34,31.61
Allegiant Stadium,35,31.91
Allegiant Stadium,36,33.44
Allegiant Stadium,37,30.0
Allegiant Stadium,38,24.51
Allegiant Stadium,39,30.29
