Name,Team(s),Location,Capacity,Roof type,Latitude,Longitude
Acrisure Stadium,Pittsburgh Steelers,"Pittsburgh, Pennsylvania",68400,Open-air,40.4468,-80.0158
Allegiant Stadium,Las Vegas Raiders,"Paradise, Nevada",65000,Translucent,36.0909,-115.1833
Arrowhead Stadium,Kansas City Chiefs,"Kansas City, Missouri",76416,Open-air,39.049,-94.484
AT&T Stadium,Dallas Cowboys,"Arlington, Texas",80000,Retractable,32.748,-97.0934
Bank of America Stadium,Carolina Panthers,"Charlotte, North Carolina",74867,Open-air,35.2258,-80.8528
Caesars Superdome,New Orleans Saints,"New Orleans, Louisiana",73208,Dome,29.9511,-90.0812
Empower Field at Mile High,Denver Broncos,"Denver, Colorado",76125,Open-air,39.7439,-105.0201
EverBank Stadium,Jacksonville Jaguars,"Jacksonville, Florida",67838,Open-air,30.3239,-81.6373
Ford Field,Detroit Lions,"Detroit, Michigan",65000,Dome,42.34,-83.0456
Gillette Stadium,New England Patriots,"Foxborough, Massachusetts",66829,Open-air,42.0908,-71.2643
Hard Rock Stadium,Miami Dolphins,"Miami Gardens, Florida",65326,Open-air,25.9579,-80.239
Highmark Stadium,Buffalo Bills,"Orchard Park, New York",71608,Open-air,42.7738,-78.787
Huntington Bank Field,Cleveland Browns,"Cleveland, Ohio",67431,Open-air,41.5061,-81.6995
Lambeau Field,Green Bay Packers,"Green Bay, Wisconsin",81441,Open-air,44.5013,-88.0622
Levi's Stadium,San Francisco 49ers,"Santa Clara, California",68500,Open-air,37.4033,-121.9694
Lincoln Financial Field,Philadelphia Eagles,"Philadelphia, Pennsylvania",69596,Open-air,39.9014,-75.1676
Lucas Oil Stadium,Indianapolis Colts,"Indianapolis, Indiana",67000,Retractable,39.7601,-86.1639
Lumen Field,Seattle Seahawks,"Seattle, Washington",69000,Open-air,47.5952,-122.3316
M&T Bank Stadium,Baltimore Ravens,"Baltimore, Maryland",71008,Open-air,39.2779,-76.6229
Mercedes-Benz Stadium,Atlanta Falcons,"Atlanta, Georgia",71000,Retractable,33.7553,-84.4006
MetLife Stadium,"New York Giants
New York Jets","East Rutherford, New Jersey",82500,Open-air,40.8135,-74.0745
Nissan Stadium,Tennessee Titans,"Nashville, Tennessee",69143,Open-air,36.1665,-86.7713
Northwest Stadium,Washington Commanders,"Landover, Maryland",64000,Open-air,38.9081,-76.864
NRG Stadium,Houston Texans,"Houston, Texas",72220,Retractable,29.6847,-95.4107
Paycor Stadium,Cincinnati Bengals,"Cincinnati, Ohio",65515,Open-air,39.0955,-84.5161
Raymond James Stadium,Tampa Bay Buccaneers,"Tampa, Florida",69218,Open-air,27.9759,-82.5033
SoFi Stadium,"Los Angeles Rams
Los Angeles Chargers","Inglewood, California",70240,Translucent,33.9535,-118.339
Soldier Field,Chicago Bears,"Chicago, Illinois",61500,Open-air,41.8623,-87.6167
State Farm Stadium,Arizona Cardinals,"Glendale, Arizona",63400,Retractable,33.5276,-112.2626
U.S. Bank Stadium,Minnesota Vikings,"Minneapolis, Minnesota",66655,Translucent,44.9736,-93.2575
